nombre_en_whatsapp,clasificacion,num_mensajes,primer_dia_julio,ultimo_dia_julio,zonas_mencionadas,muestra_de_mensaje
.,AMBIGUO,19,19,23,"centro, larapa, nogales, san jeronimo, san jerónimo, san sebastián, saylla",Motorizado
A,AMBIGUO,5,20,21,wimpillay,De magisterio a Wimpillay cuánto??
~,AMBIGUO,2,20,20,"khipu, nogales",De los nogales al instituto khipu de centenario cuánto ?
J,AMBIGUO,2,20,20,,Buen día de totus a Garcilazo Open plaza
;,AMBIGUO,1,24,24,,Alguien libre por el mall?
Anthony M.c🎤,AMBOS,9,21,23,santiago,BUSCO TAXI MOTO Anthony Luis Uzcátegui el olivo c-7 paralelo del parque del bosque de qoripata Colegio fe y alegría20 Be
TiMi!,AMBOS,5,19,24,"larapa, manco",Soy motorizado y mi zona es manco ccapac
^-^,AMBOS,2,22,23,"san sebastián, tica tica",Alguien libre por santa Úrsula. Hacia sexto de San Sebastián????
Frank💚🏅,MOTORIZADO,18,20,23,"san jerónimo, san sebastián",6 15 puede ser
Andreesqp,MOTORIZADO,15,19,21,"centro, miraflores, san jerónimo, tica tica",Buen día gente
🙃,MOTORIZADO,9,21,23,,Hola
Baya,MOTORIZADO,7,19,22,"pachacutec, wanchaq",Mi ubicación fija y constante en la florida wanchaq (conductor)🏍️
Jeremy,MOTORIZADO,7,20,22,,Yo
Para agencias de citas y matchmaking,MOTORIZADO,7,22,24,,Yo
Josmar😎🏍️,MOTORIZADO,5,19,23,,Hola
Alvaro 🏍️,MOTORIZADO,4,19,22,,"Soy motorizado, deseo pertenecer, buenas tardes con todos"
gonzalo del1999,MOTORIZADO,2,19,22,,"Hola soy nuevo, acá y soy motorizado."
Danny,MOTORIZADO,2,19,21,san sebastián,Buenas tardes también soy motorizado estoy por San Sebastián
Raul,MOTORIZADO,2,19,22,,"Bienas tardes, soy motorizado, me encuentro por arcopata😉"
Elmelec98😘,MOTORIZADO,2,19,19,san sebastián,Buenas noches información para conductor por favor soy motorizado
Wx10,MOTORIZADO,2,19,21,san jerónimo,De san Jerónimo. Tengo moto.
Felix H,MOTORIZADO,2,20,20,,Yo
S.HUANCA P.🦁,MOTORIZADO,2,21,21,,1 sol por kilómetro
AFRODITA HAIR & NAIL SALON,MOTORIZADO,2,23,23,,Tío
Jose Sicus,MOTORIZADO,1,19,19,,De tica a tica soy tengo moto
Taxi moto,MOTORIZADO,1,23,23,,Yo
DARK DRIVER,OPERADOR,93,19,24,,📍🏍️Bienvenido/a a RAPPI MOTO CUSCO todos nuestros viajes son seguros y confiables y claro al mejor precio indicanos si d
T'ika Bel,PASAJERO,11,20,22,"huancaro, unsaac",BUSCO TAXI MOTO Belinda Plaza vea la cultura Huancaro - ccachona 6:30 Hoy
Yanela,PASAJERO,6,20,23,plaza nazarenas,BUSCO TAXI MOTO Yanela Confraternidad Paraíso 5:55 hoy
Terry,PASAJERO,6,21,21,plaza nazarenas,"Buenas tardes con todos, alguien para que me pueda recoger el día de mañana a las 11:30 am y llevarme a la plaza nazaren"
anyeli ✨,PASAJERO,5,20,23,huancaro,"Buenos días, desde el segundo grifo de huancaro,hasta Tacna en wanchac"
shar,PASAJERO,5,20,21,,Info?
Dani,PASAJERO,5,21,23,manco,BUSCO TAXI MOTO Daniela Puerta principal del Essalud Escuela de manco Cápac dos cuadras arriba 6:30 hoy
Hade Condeña C.,PASAJERO,4,19,21,manco,De °molino y al rededores a la conti Y delivery más porfavor
Carlitos Calderón,PASAJERO,4,19,19,,Buenas noches
Mila 😁,PASAJERO,4,20,22,"san sebastián, senati","De cementerio de san Sebastián hasta SENATI para ahora, alguien?"
Evi 🌻,PASAJERO,4,20,22,wanchaq,"Buenos días quiero servicio para las 11 am, le mando ubicación para el recojo?"
Ana Laleska 😊,PASAJERO,4,21,22,"san sebastián, santa mónica",BUSCO TAXI MOTO Ana Puente tupac amaru Urb. Santa Mónica 8:15 am 21/07/26
Eu Eidrian,PASAJERO,3,19,22,unsaac,X2
Idaluz Salas,PASAJERO,3,20,21,"san jerónimo, san sebastián",Hola del Cementerio de San Sebastián hasta Villa periodista y después hacia el Seguro?
Gabrielito,PASAJERO,3,20,21,,"Buen día necesito servicio de taxi desde Horacio Cevallos hasta mantas ,por favor"
sol 🌕✨,PASAJERO,3,20,23,san sebastián,"Pero solo va una persona, no como en un taxi"
Keysi💞,PASAJERO,3,21,21,,BUSCO TAXI MOTO Keysi Parque Ecológico de Marcavalle Parque Quillabamba 10:05 am 21/07/26
Mochi: Kbom Kbom💣💥,PASAJERO,3,21,21,,BUSCO TAXI MOTO Miguel Puerta de emergencia del hospital regional Av tupac amaru Jr urcos 5:30 21/07/2026
L.k,PASAJERO,3,21,22,,BUSCO TAXI MOTO Kathy Agua buena por la riel Colegio Rosario 8.20am 22/07/2026
Adri,PASAJERO,3,21,23,san sebastián,BUSCO TAXI MOTO Adriana Paradero de bajada magisterio Santa rosa de la Guardia civil cruzando el puente sol de oro 8:40 
🗣️:P,PASAJERO,3,21,23,,BUSCO TAXI MOTO Forlan av velado astete segundo paradero carril de subida Al seguro por la puerta de emergencia más arri
Karel A,PASAJERO,3,22,23,san sebastián,BUSCO TAXI MOTO Karel Paradero canchon San Sebastián Pasaje España - Santa ana 20:16 Hoy
Marcela,PASAJERO,3,23,23,nogales,"BUSCO TAXI MOTO Marcela Los Nogales, paradero grifo plaza de armas 5.00pm HOY"
Maricielo🌻✨🦋,PASAJERO,2,20,21,,De Rosaspata al baipas de Diagonal Angamos ?
Baby,PASAJERO,2,21,21,,BUSCO TAXI MOTO Adriano Urb. Zaguán del cielo MTC 8:50am Hoy
✨✨,PASAJERO,2,21,21,san sebastián,BUSCO TAXI MOTO Yamile 2 paradero San Sebastián La plaza central 9:40am Hoy
Emili Caceres,PASAJERO,2,22,22,,"BUSCO TAXI MOTO Emily Infancia, altura de la casa blanca Plazoleta Santa Ana 4:15 - 4:20 Ahorita 🥹"
Amberly.,PASAJERO,2,22,22,,BUSCO TAXI MOTO jhoselyn atrás del estadio garcilaso sauna oasis 4:10 hoy
😎Paúl🏍️,PASAJERO,2,23,23,san sebastián,BUSCO TAXI MOTO Paul Manuel prado mercado San Sebastián 4to 6.50PM Hoy
mi Paola🫶🏼,PASAJERO,1,21,21,nogales,BUSCO TAXI MOTO Paola Jr Nazca los nogales La unsacc 8:40am 21/07/26
Qorianka 🪬🎀,PASAJERO,1,21,21,"miraflores, san jerónimo, wanchaq",BUSCO TAXI MOTO Qorianka Miraflores San Jerónimo Mercado wanchaq 11 am Hoy
estefanizea💖,PASAJERO,1,21,21,wanchaq,BUSCO TAXI MOTO Nicole Paradero control Plaza tupac Amaru wanchaq 2:15pm Hoy
Su 💕💫,PASAJERO,1,21,21,,BUSCO TAXI MOTO Susana Colegio Uriel Garcia Parque el mapa 5:15 hoy
Ariana❤️‍🩹,PASAJERO,1,21,21,,BUSCO TAXI MOTO Ariana Santa Rosa- San Sebas Terminal terrestre 5:40 am 22 de julio
Bri,PASAJERO,1,22,22,,BUSCO TAXI MOTO Maryory Puputi Puesto de Salud San Pedro(picchu alto) 8:00 am Hoy
Jimena Elizabeth,PASAJERO,1,22,22,tica tica,BUSCO TAXI MOTO eliza grifo tica tica santa rosa veterinaria scobi bet 5y15 Hoy
deysi,PASAJERO,1,23,23,,BUSCO TAXI MOTO Gabriela Puquin Puente independencia Avenida Tacna por donde está el BCP 3:00 PM Hoy
DURAND,PASAJERO,1,23,23,,BUSCO TAXI MOTO Sarah paradero hospital regional tica-tica 2:00pm HOY
Erixon 🏎️,PASAJERO,1,23,23,,BUSCO TAXI MOTO Erixon Nueva Alta Velasco Astete 7y30 Hoy
cerrajeria cusco 24hrs,SIN_CLASIFICAR,13,19,22,,Que fue mi king yo también seré Uber o no hay cupos ??
✨,SIN_CLASIFICAR,9,19,21,,Buena noche
gorilla glu,SIN_CLASIFICAR,7,19,21,"larapa, nogales",Estoy bajando a larapa
Alessandro,SIN_CLASIFICAR,6,19,22,"centro, san sebastián",Hola a qué hora necesitas?
OIF,SIN_CLASIFICAR,6,21,22,,En algunos lugar si pues es por zonas 🥹
BYR,SIN_CLASIFICAR,5,19,19,"amauta, miraflores, san jerónimo",Buenos días normalmente cuánto está el pasaje de Miraflores asta amauta?
El Favo,SIN_CLASIFICAR,3,19,19,,Motorizado
A M E R,SIN_CLASIFICAR,3,19,21,,BUENAS NOCHES CON TODOS MI NOMBRE ES AMER UN AGRADO SALUDAROS MI ZONA ES REAL PLAZA CCOLLASUYO
Dios Siempre Contigo ❤️,SIN_CLASIFICAR,3,20,20,miraflores,Buenos días
😌😌,SIN_CLASIFICAR,3,20,20,san sebastián,Buenas de acá del módulo de zarzuela a segundo de san Sebastián?
Fernando😎,SIN_CLASIFICAR,3,20,20,unsaac,🖐🏻
Kenn,SIN_CLASIFICAR,3,20,20,,Pero es mas rápido que un taxi
📱Choquehuillca,SIN_CLASIFICAR,3,20,20,,Disponibles
Frank☘️❄️,SIN_CLASIFICAR,3,23,23,san jeronimo,Aqui
E-Dragon import,SIN_CLASIFICAR,2,19,19,,La tarifa es de 1.50 por km
Erick Linares,SIN_CLASIFICAR,2,19,19,"centro, larapa, wanchaq",Hola algún motorizado por tottus
Nadia😼,SIN_CLASIFICAR,2,19,19,"centro, san jerónimo",Y de San Jerónimo-kayra al centro por favor?
Yuliana Huanca 😁,SIN_CLASIFICAR,2,19,19,pachacutec,"Buenas noches, me pueden hacer ruta desde camionero hasta el final de bajada de Pachacutec?"
🎧c.m♡,SIN_CLASIFICAR,2,19,19,amauta,De amauta a lorohuachana un paradero arriba?
Jhon Valencias,SIN_CLASIFICAR,2,20,20,,Alguien cementerio huancaor a transportes
Flor,SIN_CLASIFICAR,2,20,20,"khipu, miraflores, san jerónimo",Disculpe algún motorizado de Miraflores (san Jerónimo) Destino centenario khipu .
StUAR,SIN_CLASIFICAR,2,20,24,,Buenos días una consulta los servicios de transporte en moto hasta que hora están disponible o en caso sea 24/7?
ChrissLP,SIN_CLASIFICAR,2,21,21,,Para un Kia picanto Cross
